term,extracted_value,section,timestamp
Agreement Category,Not specified,Not found,2025-02-17T10:31:45.167472
Template used,"January 31, 2017",10,2025-02-17T10:31:47.786730
Nature of Agreement,Not specified,Not found,2025-02-17T10:31:51.265601
Document Type,Not specified,Not found,2025-02-17T10:31:54.673636
Document Type Comment,Not specified,11,2025-02-17T10:31:57.776231
Contracting Entity,Not specified,15.,2025-02-17T10:32:01.478946
Contracting Entity Location,"July 31, 2017",14,2025-02-17T10:32:05.012941
Counterparty Entity Name,Not specified,Not found,2025-02-17T10:32:08.299784
Counterparty Entity Location,Not specified,11,2025-02-17T10:32:11.450735
Contract Summary,Not specified,15,2025-02-17T10:32:14.515201
Country Where Work will be performed,Not specified,10,2025-02-17T10:32:17.520718
Effective Date,Not specified,10.,2025-02-17T10:32:20.452387
Effective Date Comments,Not specified,10.,2025-02-17T10:32:23.833599
Initial Term End Date,Not specified,10,2025-02-17T10:32:26.563209
Initial Term End Date Comments,Not specified,Not found,2025-02-17T10:32:29.326069
Term Type,Not specified,Not found,2025-02-17T10:32:32.585680
Term Type Comments,"June 30, 2015",10.,2025-02-17T10:32:35.901774
Contract Terminated on,"June 30, 2015",10.,2025-02-17T10:32:38.663730
Contract Terminated on Comments,Not specified,Not found,2025-02-17T10:32:41.590904
Renewal Type,Not specified,Not found,2025-02-17T10:32:44.199635
Renewal Type Comments,Not specified,13,2025-02-17T10:32:47.602309
Renewal Term End Date,"July 31, 2017",14,2025-02-17T10:32:51.879332
Renewal Term End Date Comments,Not specified,15,2025-02-17T10:32:54.307282
Milestone of Agreements or Contract,Not specified,Not found,2025-02-17T10:32:56.932682
Milestone of Agreements or Contract Comments,"January 31, 2017",11,2025-02-17T10:33:00.516043
Agreement Termination Type,Not specified,10,2025-02-17T10:33:03.675121
Agreement Termination Type Comment,Not specified,11.,2025-02-17T10:33:06.711574
Agreement Termination notice Period,"July 31, 2017",2 & 14,2025-02-17T10:33:09.770284
Agreement Termination notice Period Comments,Not specified,14,2025-02-17T10:33:12.065622
Payment Currency,Not specified,15.1,2025-02-17T10:33:14.661184
Payment Term,Not specified,Not found,2025-02-17T10:33:18.141067
Late Payment Onus,Not specified,Not found,2025-02-17T10:33:21.054095
Late Payment Onus Comments,Not specified,11,2025-02-17T10:33:24.361578
Late Payment Penalty,Not specified,Not found,2025-02-17T10:33:27.330845
Price,Not specified,Not specified,2025-02-17T10:33:30.329831
Price Comments,Not specified,14,2025-02-17T10:33:34.254866
Value Of Contract,"January 31, 2017",11,2025-02-17T10:33:37.386878
Invoice Cycle,Not specified,14,2025-02-17T10:33:39.756777
Invoice Cycle Comments,Not specified,15,2025-02-17T10:33:42.584687
Liability Cap,Not specified,Not found,2025-02-17T10:33:45.626465
Liability Cap Comments,"January 31, 2017",10,2025-02-17T10:33:49.081056
Indemnity,"July 31, 2017",14,2025-02-17T10:33:52.213973
Indemnity Comments,"January 31, 2017",Not found,2025-02-17T10:33:55.162004
Confidential Obligation,Not specified,13.i,2025-02-17T10:33:59.571367
Confidentiality Obligation Comments,"January 31, 2017",10,2025-02-17T10:34:02.885212
Duration of Confidentiality Obligation,Not specified,14,2025-02-17T10:34:05.198623
Limitation of Data Processing,Not specified,10,2025-02-17T10:34:08.012066
Exclusivity,Not specified,10,2025-02-17T10:34:11.243091
Exclusivity Comments,"June 30, 2015",3,2025-02-17T10:34:15.514922
Sub-Contractor Permitted,Not specified,Not found,2025-02-17T10:34:18.822339
Sub-Contractor Permitted Comments,Not specified,15,2025-02-17T10:34:21.650911
Non-Compete,Not specified,11,2025-02-17T10:34:24.421535
Non-Compete Comments,Not specified,11,2025-02-17T10:34:27.481979
Non-Solicitation,Not specified,11.,2025-02-17T10:34:30.589015
Non-Solicitation Comments,Not specified,13.,2025-02-17T10:34:34.380415
Types of IP,Not specified,Not found,2025-02-17T10:34:37.396943
Ownership of IP,Not specified,15.,2025-02-17T10:34:40.838992
Ownership of IP comments,"January 31, 2017",11,2025-02-17T10:34:44.141238
Transfer of IP,Not specified,10,2025-02-17T10:34:47.063765
Transfer of IP Comments,New York,15.,2025-02-17T10:34:49.581266
Insurance if Any,None found,N/A,2025-02-17T10:34:52.105390
Any ESG Or CSR Obligation,Not specified,Not found,2025-02-17T10:34:55.176699
Change of Control Provision,Not specified,10.,2025-02-17T10:34:58.156333
Governing Law,Not specified,Not found,2025-02-17T10:35:00.852719
Dispute resolution,Not specified,10.,2025-02-17T10:35:03.904549
Notes,"July 31, 2017",14,2025-02-17T10:35:06.773880
